step total box obj cls lr
25071 3.994020 0.526676 1.322745 0.037896 0.000034227
25148 3.712986 0.489774 1.231766 0.032352 0.000034227
25238 3.451611 0.430375 1.261241 0.038496 0.000034227
25305 3.953723 0.499320 1.419650 0.037473 0.000034227
25349 3.694423 0.483423 1.242593 0.034718 0.000034227
25401 4.571091 0.625997 1.400006 0.041098 0.000034227
25500 3.503125 0.461505 1.155231 0.040370 0.000034227
25563 3.691752 0.499429 1.166108 0.028498 0.000034227
25633 4.840461 0.671704 1.447850 0.034092 0.000034227
25701 4.007847 0.519761 1.371300 0.037744 0.000034227
25764 2.654157 0.301676 1.102899 0.042879 0.000034227
25824 3.419851 0.441441 1.174814 0.037833 0.000034227
25883 3.880692 0.530991 1.180362 0.045377 0.000034227
25930 3.045077 0.352505 1.236583 0.045970 0.000020817
25999 3.874468 0.490906 1.379827 0.040109 0.000020817
26071 3.792291 0.485708 1.324385 0.039364 0.000020817
26136 3.346669 0.418561 1.214001 0.039861 0.000020817
26194 3.308310 0.398062 1.272330 0.045668 0.000020817
26267 3.518106 0.447607 1.236410 0.043660 0.000020817
26335 3.731566 0.478906 1.295356 0.041679 0.000020817
26391 3.862575 0.495104 1.341010 0.046046 0.000020817
26469 3.510270 0.431093 1.317034 0.037770 0.000020817
26579 3.917884 0.512124 1.313299 0.043963 0.000020817
26658 4.211446 0.545806 1.436503 0.045912 0.000020817
26717 2.995441 0.373738 1.082489 0.044263 0.000020817
26774 3.757162 0.469313 1.372564 0.038032 0.000020817
26866 3.861073 0.495165 1.345048 0.040202 0.000012712
26947 4.173741 0.592570 1.180506 0.030388 0.000012712
27002 3.886052 0.520032 1.254346 0.031544 0.000012712
27064 5.647462 0.852625 1.350803 0.033531 0.000012712
27136 3.160902 0.394545 1.149575 0.038602 0.000012712
27210 3.354176 0.414679 1.245282 0.035499 0.000012712
27269 3.317444 0.409350 1.223660 0.047035 0.000012712
27352 3.409069 0.430013 1.218604 0.040399 0.000012712
27410 4.256279 0.567761 1.379072 0.038401 0.000012712
27492 4.532171 0.645293 1.272954 0.032751 0.000012712
27575 3.997712 0.537661 1.270506 0.038901 0.000012712
27635 3.291748 0.409543 1.206159 0.037876 0.000012712
27695 3.702919 0.483295 1.256587 0.029859 0.000012712
27750 3.160479 0.418202 1.032676 0.036791 0.000012712
