step total box obj cls lr
21081 3.210843 0.371926 1.305403 0.045810 0.000173780
21154 3.740879 0.495674 1.230878 0.031628 0.000173780
21212 3.469488 0.451573 1.184239 0.027382 0.000173780
21271 3.430415 0.452678 1.132967 0.034060 0.000173780
21330 4.728657 0.662423 1.375119 0.041424 0.000137143
21398 4.291924 0.613592 1.195533 0.028431 0.000137143
21468 3.864537 0.502119 1.322206 0.031734 0.000137143
21545 4.284560 0.560518 1.444957 0.037011 0.000137143
21609 3.428871 0.436499 1.205397 0.040980 0.000137143
21677 3.451936 0.433848 1.246760 0.035936 0.000137143
21744 3.965916 0.523665 1.315175 0.032416 0.000137143
21810 4.328030 0.575969 1.397716 0.050468 0.000137143
21874 3.646253 0.471545 1.249285 0.039244 0.000137143
21933 3.765101 0.494053 1.264451 0.030386 0.000137143
21998 4.920125 0.679009 1.487823 0.037259 0.000137143
22070 3.718397 0.460897 1.372480 0.041432 0.000137143
22150 4.725668 0.663640 1.370568 0.036899 0.000137143
22204 3.187005 0.377580 1.254945 0.044160 0.000104537
22278 3.621012 0.482068 1.172268 0.038402 0.000104537
22320 4.672514 0.645045 1.408816 0.038472 0.000104537
22383 3.636979 0.466768 1.265633 0.037505 0.000104537
22449 3.698278 0.475536 1.283021 0.037579 0.000104537
22508 3.759426 0.493560 1.252169 0.039457 0.000104537
22570 3.177616 0.391691 1.181033 0.038128 0.000104537
22643 3.306219 0.415199 1.182559 0.047666 0.000104537
22693 3.018399 0.346811 1.239115 0.045228 0.000104537
22769 4.075685 0.542004 1.328014 0.037652 0.000104537
22844 4.498030 0.618862 1.366642 0.037079 0.000104537
22922 3.708728 0.467868 1.335083 0.034307 0.000104537
22988 3.114805 0.375794 1.177812 0.058022 0.000104537
23087 3.836192 0.481885 1.391367 0.035401 0.000104537
23154 3.546910 0.454028 1.232962 0.043806 0.000076317
23226 4.635316 0.624870 1.470365 0.040602 0.000076317
23288 3.617403 0.481676 1.177560 0.031461 0.000076317
23345 3.449947 0.413982 1.347425 0.032613 0.000076317
23398 3.507921 0.434125 1.291237 0.046060 0.000076317
23456 3.765379 0.475452 1.356336 0.031785 0.000076317
23551 3.651300 0.449991 1.361259 0.040086 0.000076317
23615 2.228039 0.243131 0.966913 0.045472 0.000076317
23690 4.430932 0.591876 1.430482 0.041070 0.000076317
23760 3.673255 0.458324 1.340658 0.040978 0.000076317
23817 4.269492 0.561735 1.425508 0.035308 0.000076317
23924 4.036278 0.535262 1.323963 0.036003 0.000076317
24004 3.683133 0.469910 1.294383 0.039201 0.000076317
24076 3.103702 0.378828 1.159714 0.049848 0.000052795
